timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724230779377,4641,HTTP Request,200,OK,Thread Group 1-446,text,true,,309,433,745,745,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4641,0,4562
1724230783052,615,HTTP Request,200,OK,Thread Group 1-690,text,true,,309,433,719,719,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,615,0,493
1724230780606,2575,HTTP Request,200,OK,Thread Group 1-528,text,true,,309,433,697,697,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2575,0,2538
1724230778939,4243,HTTP Request,200,OK,Thread Group 1-276,text,true,,309,433,697,697,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4243,0,4190
1724230779700,3484,HTTP Request,200,OK,Thread Group 1-486,text,true,,309,433,697,697,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3484,0,3453
1724230778809,4379,HTTP Request,200,OK,Thread Group 1-235,text,true,,309,433,697,697,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4379,0,4339
1724230778764,5233,HTTP Request,200,OK,Thread Group 1-134,text,true,,309,433,745,745,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,5233,0,5189
1724230779941,3717,HTTP Request,200,OK,Thread Group 1-495,text,true,,309,433,718,718,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3717,0,3611
1724230783311,345,HTTP Request,200,OK,Thread Group 1-700,text,true,,309,433,718,718,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,345,0,252
1724230779106,4913,HTTP Request,200,OK,Thread Group 1-345,text,true,,309,433,745,745,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4913,0,4893
1724230780703,2831,HTTP Request,200,OK,Thread Group 1-598,text,true,,309,433,712,712,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2831,0,2792
1724230779504,3483,HTTP Request,200,OK,Thread Group 1-479,text,true,,309,433,685,685,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3454,0,3323
1724230779474,3513,HTTP Request,200,OK,Thread Group 1-477,text,true,,309,433,685,685,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3484,0,3264
1724230778743,5242,HTTP Request,200,OK,Thread Group 1-83,text,true,,309,433,744,744,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,5242,0,5224
1724230778681,4304,HTTP Request,200,OK,Thread Group 1-79,text,true,,309,433,685,685,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4277,0,4087
1724230778711,5684,HTTP Request,200,OK,Thread Group 1-49,text,true,,309,433,757,757,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,5684,0,5670
1724230779877,3108,HTTP Request,200,OK,Thread Group 1-494,text,true,,309,433,685,685,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3080,0,2865
1724230780602,2480,HTTP Request,200,OK,Thread Group 1-521,text,true,,309,433,693,693,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2480,0,2446
1724230778732,4351,HTTP Request,200,OK,Thread Group 1-206,text,true,,309,433,693,693,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4351,0,4315
1724230778680,4404,HTTP Request,200,OK,Thread Group 1-110,text,true,,309,433,693,693,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4404,0,4126
1724230779435,3666,HTTP Request,200,OK,Thread Group 1-465,text,true,,309,433,694,694,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3666,0,3617
1724230779063,4716,HTTP Request,200,OK,Thread Group 1-322,text,true,,309,433,728,728,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4716,0,4614
